Word,Concreteness,Brysbaert,Muraki,Glasgow,MRC
imminently,1.64,1.64,,,
immobile,2.86,2.86,,,
immobility,3.52,3.52,,,
immobilization,3.0,3.0,,,
immobilize,3.21,3.21,,,
immobilizer,2.66,2.66,,,
immoderate,2.07,2.07,,,
immoderately,1.73,1.73,,,
immoderation,2.08,2.08,,,
immodest,2.07,2.07,,,
immodestly,1.69,1.69,,,
immodesty,2.44,2.44,,,
immoral,1.59,1.59,,1.647,
immoral earnings,1.9,,1.9,,
immorality,2.11,2.11,,,
immorally,1.96,1.96,,,
immortal,2.0,2.0,,,
immortality,1.52,1.52,,,209
immortalization,1.55,1.55,,,
immortalize,1.76,1.76,,,
immortally,2.0,2.0,,,
immovability,2.79,2.79,,,
immovable,2.43,2.43,,,
immovableness,2.42,2.42,,,
immovably,2.17,2.17,,,
immune,2.43,2.43,,3.606,
immune deficiency,3.64,,3.64,,
immune globulin,3.9,,3.9,,
immune reaction,3.31,,3.31,,
immune response,3.8,,3.8,,
immune system,3.36,3.36,3.8,,
immunity,2.07,2.07,,3.471,293
immunization,3.75,3.75,,,
immunize,3.0,3.0,,,
immunoelectron microscopy,3.3,,3.3,,
immunological,1.95,1.95,,,
immunologist,3.73,3.73,,,
immunology,2.48,2.48,,,
immunosuppressive,2.48,2.48,,,
immunosuppressive drug,4.0,,4.0,,
immunotherapy,2.75,2.75,,,
immutable,1.5,1.5,,,
impact,2.59,2.59,,3.871,379
impact area,3.5,,3.5,,
impact driver,3.7,,3.7,,
impact printer,4.5,,4.5,,
impacted,2.7,2.7,,,
impacted fracture,3.73,,3.73,,
impacted tooth,3.9,,3.9,,
impactful,1.93,1.93,,,
impair,1.73,1.73,,3.824,
impaired,2.44,2.44,,3.097,
impairer,2.56,2.56,,,
impairment,2.48,2.48,,,
impale,3.84,3.84,,,
impalement,3.0,3.0,,,
impalpability,1.73,1.73,,,
impalpable,1.96,1.96,,,
impalpably,2.12,2.12,,,
impart,2.0,2.0,,,
impartial,1.81,1.81,,,309
impartiality,1.42,1.42,,,
impartially,1.79,1.79,,,
impartialness,1.48,1.48,,,
impartibility,1.56,1.56,,,
impassability,1.75,1.75,,,
impassable,1.96,1.96,,,
impassably,2.0,2.0,,,
impassibility,2.46,2.46,,,
impassible,2.15,2.15,,,
impassion,1.65,1.65,,,
impassioned,2.17,2.17,,,
impassive,1.52,1.52,,,
impassively,1.89,1.89,,,
impassiveness,1.57,1.57,,,
impassivity,1.33,1.33,,,
impatience,1.93,1.93,,,257
impatient,2.38,2.38,,,
impatiently,2.08,2.08,,,
impeach,2.11,2.11,,,
impeachability,1.89,1.89,,,
impeachable,2.13,2.13,,,
impeacher,2.59,2.59,,,
impeachment,2.69,2.69,,,
impeccable,2.12,2.12,,,
impeccably,2.04,2.04,,,
impedance,2.5,2.5,,,
impede,2.73,2.73,,,
impediment,2.56,2.56,,,358
impedimentary,1.96,1.96,,,
impeding,2.1,2.1,,,
impending,1.48,1.48,,,
impenetrability,2.22,2.22,,,
impenetrable,2.62,2.62,,,
impenetrableness,2.78,2.78,,,
impenetrably,1.92,1.92,,,
imperative,1.36,1.36,,,
imperative form,2.2,,2.2,,
imperative mood,3.18,,3.18,,
imperatively,1.85,1.85,,,
imperativeness,1.54,1.54,,,
imperceptibility,1.62,1.62,,,
imperceptible,1.73,1.73,,,
imperceptive,1.46,1.46,,,
imperceptiveness,1.48,1.48,,,
imperfect,2.18,2.18,,,
imperfect tense,1.7,,1.7,,
imperfection,2.07,2.07,,,282
imperfective aspect,2.2,,2.2,,
imperfectly,2.07,2.07,,,
imperfectness,1.88,1.88,,,
imperforate anus,2.6,,2.6,,
imperial,2.52,2.52,,,
imperial beard,4.5,,4.5,,
imperial bushel,3.7,,3.7,,
imperial court,3.8,,3.8,,
imperial decree,3.0,,3.0,,
imperialism,1.93,1.93,,,
imperialist,2.36,2.36,,,
imperialistic,1.41,1.41,,,
imperialistically,1.54,1.54,,,
imperially,1.54,1.54,,,
imperiousness,1.76,1.76,,,
imperishable,2.3,2.3,,,
imperishableness,2.29,2.29,,,
imperishably,1.83,1.83,,,
impermanence,1.93,1.93,,,
impermanent,1.67,1.67,,,
impermeability,2.1,2.1,,,
impermeable,2.88,2.88,,,
impermeably,2.2,2.2,,,
impermissible,1.67,1.67,,,
impersonal,1.69,1.69,,,
impersonal pronoun,2.6,,2.6,,
impersonalize,1.44,1.44,,,
impersonally,1.6,1.6,,,
impersonate,2.88,2.88,,,
impersonation,2.46,2.46,,,331
impersonator,3.5,3.5,,,
impertinence,2.28,2.28,,,
impertinent,1.76,1.76,,,
impervious,2.04,2.04,,,
imperviously,1.52,1.52,,,
imperviousness,1.8,1.8,,,
impetuous,1.73,1.73,,,
impetuousness,1.87,1.87,,,
impetus,2.19,,,,278
impinge on,2.2,,2.2,,
impinge upon,2.82,,2.82,,
impious,1.54,1.54,,,
impish,1.68,1.68,,,
impishness,1.67,1.67,,,
implacable,2.15,2.15,,,
implacableness,1.87,1.87,,,
implant,4.31,4.31,,,
implantable,2.03,2.03,,,
implantation,3.07,3.07,,,
implausibility,2.04,2.04,,,
implausible,1.5,1.5,,,
implausibly,2.11,2.11,,,
implement,2.33,2.33,,,
implemental,2.42,2.42,,,
implementation,1.84,1.84,,,
implementer,2.76,2.76,,,
implicate,1.68,1.68,,,
implication,1.61,1.61,,,
implicatively,1.32,1.32,,,
implicit,2.0,2.0,,,
implicit in,2.3,,2.3,,
implicitly,1.75,1.75,,,
implicitness,1.58,1.58,,,
implied consent,2.5,,2.5,,
implied trust,2.4,,2.4,,
implode,3.64,3.64,,,
imploration,2.23,2.23,,,
implore,1.61,1.61,,,
implorer,2.42,2.42,,,
imploring,1.64,1.64,,,
imploringly,1.57,1.57,,,
implosion,3.36,3.36,,,
implosion therapy,2.5,,2.5,,
implosive,2.68,2.68,,,
implosively,1.96,1.96,,,
imply,1.86,1.86,,,
impolite,1.96,1.96,,,
impolitely,1.81,1.81,,,
impoliteness,1.83,1.83,,,
imponderable,1.48,1.48,,,
import,2.52,2.52,,4.281,320
import barrier,2.7,,2.7,,
import duty,3.5,,3.5,,
import license,4.18,,4.18,,
importability,2.04,2.04,,,
importance,1.75,1.75,,,244
important,2.14,2.14,,2.469,
important person,2.9,,2.9,,
importantly,1.86,1.86,,,
importation,2.81,2.81,,,
imported,2.94,,,3.909,
importer,3.43,3.43,,,
impose,1.93,1.93,,2.813,
impose on,1.69,,1.69,,
impose penalty,2.2,,2.2,,
imposer,2.65,2.65,,,
imposing,1.52,1.52,,2.471,
imposingly,2.29,2.29,,,
imposingness,2.0,2.0,,,
imposition,1.68,1.68,,,
impossibility,1.52,1.52,,,290
impossible,1.66,1.66,,2.118,198
impossible dream,2.4,,2.4,,
impossibly,1.93,1.93,,,
imposter,3.38,3.38,,,
impostor,3.14,3.14,,,
impotence,3.07,3.07,,,
impotency,2.14,2.14,,,328
impotent,2.38,2.38,,3.536,
impotently,2.0,2.0,,,
impound,3.89,3.89,,,
impounder,3.3,3.3,,,
impoundment,2.38,2.38,,,
impoverish,2.23,2.23,,,
impoverished,2.22,2.22,,,
impoverishment,2.23,2.23,,,
impracticability,1.35,1.35,,,
impractical,1.6,1.6,,,
impracticality,1.85,1.85,,,
impracticalness,1.83,1.83,,,
imprecise,1.93,1.93,,,
imprecisely,1.72,1.72,,,
imprecision,1.75,1.75,,,
impregnability,1.96,1.96,,,
impregnable,2.52,2.52,,,
impregnate,3.29,3.29,,,
impregnation,3.28,3.28,,,
impregnator,3.0,3.0,,,
impress,2.07,2.07,,3.485,
impressed with,2.06,,2.06,,
impressibility,1.87,1.87,,,
impressible,2.3,2.3,,,
impression,2.23,2.23,,2.912,288
impressionability,1.6,1.6,,,
impressionable,1.4,1.4,,,
impressionableness,1.58,1.58,,,
impressionably,1.76,1.76,,,
impressionism,2.33,2.33,,2.25,
impressionist,2.69,2.69,,,
impressionistic,1.86,1.86,,,
impressionistically,1.75,1.75,,,
impressive,2.07,2.07,,3.114,
impressively,1.46,1.46,,,
impressiveness,1.76,1.76,,,
imprint,3.96,3.96,,,421
imprinter,2.85,2.85,,,
imprison,3.35,3.35,,,
imprisonment,3.46,3.46,,,
improbability,1.64,1.64,,,
improbable,1.85,1.85,,,
improbably,1.48,1.48,,,
impromptu,2.04,2.04,,,
improper,1.69,1.69,,,
improper fraction,3.9,,3.9,,
improperly,2.0,2.0,,,
improperness,2.04,2.04,,,
impropriety,2.38,2.38,,2.667,259
improvable,1.27,1.27,,,
improve,1.82,1.82,,3.0,
improve on,2.8,,2.8,,
improve upon,2.5,,2.5,,
improvement,2.6,2.6,,2.943,326
improving,2.36,2.36,,,
improvingly,1.6,1.6,,,
improvisation,2.0,2.0,,,
improvisational,2.32,2.32,,,
improvise,2.07,2.07,,,
improviser,2.42,2.42,,,
imprudence,1.6,1.6,,,
imprudent,1.89,1.89,,,
imprudently,1.75,1.75,,,
impudence,1.55,1.55,,,
impudently,1.77,1.77,,,
impulse,2.52,2.52,,3.033,271
impulse buy,3.64,,3.64,,
impulse buying,2.2,,2.2,,
impulse purchase,3.0,,3.0,,
impulse turbine,3.8,,3.8,,
impulsive,2.25,2.25,,2.912,
impulsive speech,2.3,,2.3,,
impulsively,1.72,1.72,,,
impulsiveness,1.86,1.86,,,
impulsivity,1.5,1.5,,,
impunity,1.77,1.77,,,242
impure,2.0,2.0,,,
impurely,1.7,1.7,,,
impureness,1.57,1.57,,,
impurity,1.93,1.93,,,
imputable,1.58,1.58,,,
impute to,2.4,,2.4,,
in,3.0,3.0,,,278
in 3-D,3.73,,3.73,,
in a bad way,1.73,,1.73,,
in a bake,1.7,,1.7,,
in a big way,2.2,,2.2,,
in a bind,2.11,,2.11,,
in a bit,2.27,,2.27,,
in a blue moon,2.2,,2.2,,
in a broad way,1.9,,1.9,,
in a canter,3.3,,3.3,,
in a class of one's own,2.1,,2.1,,
in a cold sweat,2.8,,2.8,,
in a daze,2.0,,2.0,,
in a family way,2.4,,2.4,,
in a fashion,2.4,,2.4,,
in a fix,2.2,,2.2,,
in a flash,2.4,,2.4,,
in a flutter,2.7,,2.7,,
in a funk,1.7,,1.7,,
in a good mood,3.3,,3.3,,
in a heartbeat,2.9,,2.9,,
in a heartfelt way,2.73,,2.73,,
in a hurry,2.8,,2.8,,
in a jam,2.8,,2.8,,
in a jiffy,1.5,,1.5,,
in a league of one's own,1.3,,1.3,,
in a long time,2.1,,2.1,,
in a manner of speaking,1.6,,1.6,,
in a matter of,1.4,,1.4,,
in a nutshell,2.0,,2.0,,
in a pickle,2.4,,2.4,,
in a pig's eye,1.91,,1.91,,
in a pinch,1.9,,1.9,,
in a position to,2.17,,2.17,,
in a quandary,2.2,,2.2,,
in a row,2.0,,2.0,,
in a rut,1.73,,1.73,,
in a sec,1.9,,1.9,,
in a sense,2.1,,2.1,,
in a similar way,2.4,,2.4,,
in a slump,2.6,,2.6,,
in a split second,2.18,,2.18,,
in a state,2.2,,2.2,,
in a stew,3.4,,3.4,,
in a tight spot,2.1,,2.1,,
in a timely fashion,2.8,,2.8,,
in a tizz,2.1,,2.1,,
in a tizzy,1.6,,1.6,,
in a trice,1.6,,1.6,,
in a walk,3.2,,3.2,,
in a way,2.0,,2.0,,
in a word,1.5,,1.5,,
in a world of your own,2.27,,2.27,,
in abatement,1.73,,1.73,,
in abraham's bosom,2.1,,2.1,,
in absentia,2.2,,2.2,,
in accord with,2.36,,2.36,,
in accordance with,2.7,,2.7,,
in action,2.4,,2.4,,
in addition,2.2,,2.2,,
in addition to,2.5,,2.5,,
in advance,3.1,,3.1,,
in agreement,1.7,,1.7,,
in aid of,2.5,,2.5,,
in aid to this fact,1.8,,1.8,,
in all,1.5,,1.5,,
in all conscience,1.88,,1.88,,
in all honesty,1.7,,1.7,,
in all its branches,3.0,,3.0,,
in all likelihood,1.9,,1.9,,
in all my born days,1.8,,1.8,,
in all one's glory,1.82,,1.82,,
in all probability,1.6,,1.6,,
in all shapes and sizes,2.6,,2.6,,
in an elaborate way,1.5,,1.5,,
in an interesting condition,2.1,,2.1,,
in and around,1.45,,1.45,,
in and of itself,2.5,,2.5,,
in and out,2.73,,2.73,,
in answer to,2.7,,2.7,,
in any case,1.45,,1.45,,
in any event,1.8,,1.8,,
"in any way, shape or form",2.27,,2.27,,
in arrears,2.92,,2.92,,
in as much as,1.7,,1.7,,
in association with,2.7,,2.7,,
in at the deep end,1.7,,1.7,,
in back,2.4,,2.4,,
in back of,2.36,,2.36,,
in bad faith,1.7,,1.7,,
in bad odor,2.4,,2.4,,
in bad shape,2.8,,2.8,,
in bed,3.6,,3.6,,
in bed with,2.4,,2.4,,
in behalf of,1.45,,1.45,,
in best interest,2.4,,2.4,,
in between,3.64,,3.64,,
in between jobs,2.4,,2.4,,
in black and white,2.7,,2.7,,
in black books,3.2,,3.2,,
in both ears,2.7,,2.7,,
in box,2.8,,2.8,,
in brief,2.3,,2.3,,
in broad daylight,2.4,,2.4,,
in broad strokes,2.09,,2.09,,
in business,2.1,,2.1,,
in cahoots,2.2,,2.2,,
in cahoots with,1.69,,1.69,,
in cahoots with someone,2.09,,2.09,,
in camera,2.64,,2.64,,
in case,2.2,,2.2,,
in case of,1.4,,1.4,,
in cash,3.91,,3.91,,
in character,2.2,,2.2,,
in charge,2.93,2.93,3.0,,
in charge of,1.7,,1.7,,
in chorus,3.1,,3.1,,
in circles,2.5,,2.5,,
in cloud cuckoo land,1.0,,1.0,,
in cloud-cuckoo-land,2.1,,2.1,,
in clover,2.6,,2.6,,
in co-operation with,2.73,,2.73,,
in cold blood,2.5,,2.5,,
in color,3.44,,3.44,,
in common,2.7,,2.7,,
in common with,1.6,,1.6,,
in comparison with,2.2,,2.2,,
in concert,3.4,,3.4,,
in concert with,2.91,,2.91,,
in conclusion,1.5,,1.5,,
in condition,2.2,,2.2,,
in conjunction with,2.4,,2.4,,
in connection with,3.0,,3.0,,
in consultation with,2.6,,2.6,,
in contact with,2.7,,2.7,,
in contention,2.5,,2.5,,
in contrast,2.0,,2.0,,
in control,2.2,,2.2,,
in cooperation with,3.1,,3.1,,
in course with,2.5,,2.5,,
in custody,3.8,,3.8,,
in darkness,3.0,,3.0,,
in debt,3.27,,3.27,,
in deed,2.6,,2.6,,
in deep trouble,2.3,,2.3,,
in defense of,2.6,,2.6,,
in defiance of,2.7,,2.7,,
in demand,1.55,1.55,2.2,,
in depth,2.58,,2.58,,
in detail,1.8,,1.8,,
in dire straits,1.9,,1.9,,
in doubt,1.55,,1.55,,
in dribs and drabs,1.9,,1.9,,
in due course,2.09,,2.09,,
in due season,1.36,,1.36,,
in due time,2.55,,2.55,,
in dutch,2.64,,2.64,,
in earnest,1.8,,1.8,,
in effect,2.4,,2.4,,
in effigy,2.9,,2.9,,
in essence,2.36,,2.36,,
in every way,1.8,,1.8,,
in everyone's thoughts,2.3,,2.3,,
in evidence,2.82,,2.82,,
in excelsis,2.3,,2.3,,
in excess of,1.7,,1.7,,
in exchange,2.46,,2.46,,
in extremis,1.7,,1.7,,
in face of,2.4,,2.4,,
in fact,2.18,,2.18,,
in fashion,1.7,,1.7,,
in favor,2.7,,2.7,,
in favor of,2.9,,2.9,,
in fee,1.9,,1.9,,
in fine,2.12,,2.12,,
in fiscal matters,2.3,,2.3,,
in fits and starts,1.91,,1.91,,
in flight,2.82,,2.82,,
in focus,2.9,,2.9,,
in for,2.27,,2.27,,
in for a penny,1.9,,1.9,,
"in for a penny, in for a pound",2.3,,2.3,,
in for it,2.18,,2.18,,
in for the kill,2.0,,2.0,,
in force,2.5,,2.5,,
in form,2.5,,2.5,,
in from the cold,1.9,,1.9,,
in front,3.1,,3.1,,
in front of,4.17,,4.17,,
in front of one's nose,2.9,,2.9,,
in full,2.7,,2.7,,
in full action,1.8,,1.8,,
in full flight,2.6,,2.6,,
in full force,2.91,,2.91,,
in full gear,2.1,,2.1,,
in full swing,2.43,,2.43,,
in gear,3.0,,3.0,,
in general,2.2,,2.2,,
in glowing terms,1.2,,1.2,,
in good faith,1.3,,1.3,,
in good form,2.1,,2.1,,
in good hands,2.8,,2.8,,
in good spirits,1.5,,1.5,,
in good stead,1.9,,1.9,,
in good taste,1.5,,1.5,,
in good time,2.4,,2.4,,
in great confusion,2.25,,2.25,,
in hand,2.8,,2.8,,
in harness,3.3,,3.3,,
in haste,2.5,,2.5,,
in heat,2.8,,2.8,,
in heaven's name,1.83,,1.83,,
in her good graces,1.67,,1.67,,
in her own right,2.3,,2.3,,
in her right mind,2.6,,2.6,,
in hiding,3.11,,3.11,,
in high dudgeon,1.9,,1.9,,
in high gear,2.6,,2.6,,
in high spirits,2.3,,2.3,,
in hindsight,1.55,,1.55,,
in his blood,2.27,,2.27,,
in his good books,1.6,,1.6,,
in his own right,2.0,,2.0,,
in his right mind,1.91,,1.91,,
in his stead,2.1,,2.1,,
in hock,2.42,,2.42,,
in hot pursuit,2.1,,2.1,,
in hot water,1.7,,1.7,,
in inverted commas,2.6,,2.6,,
in its infancy,1.76,,1.76,,
in its own right,1.7,,1.7,,
in itself,1.4,,1.4,,
in jeopardy,1.7,,1.7,,
in jest,1.91,,1.91,,
in keeping with,1.4,,1.4,,
in kind,1.55,,1.55,,
in labor,4.08,4.08,3.5,,
in large part to,2.27,,2.27,,
in large quantities,3.14,,3.14,,
in law,2.7,,2.7,,
in law unit,3.09,,3.09,,
in laws,3.4,,3.4,,
in layman's terms,2.64,,2.64,,
in laymen's terms,2.1,,2.1,,
in league,2.5,,2.5,,
in leaps and bounds,2.3,,2.3,,
in less than no time,1.73,,1.73,,
in lieu,1.64,,1.64,,
in lieu of,2.0,,2.0,,
in light of,2.4,,2.4,,
in like flynn,2.6,,2.6,,
in limbo,2.5,,2.5,,
in line,3.1,,3.1,,
in line with,2.0,,2.0,,
in living memory,1.91,,1.91,,
in love,2.0,,2.0,,
in love with,2.5,,2.5,,
in low spirits,1.5,,1.5,,
in memoriam,2.0,,2.0,,
in midstream,3.0,,3.0,,
in mind,2.0,,2.0,,
in mint condition,2.7,,2.7,,
in my care,2.3,,2.3,,
in my good books,2.0,,2.0,,
in my mind's eye,1.91,,1.91,,
in my opinion,2.5,,2.5,,
in name,1.7,,1.7,,
in name only,1.7,,1.7,,
in need,2.73,,2.73,,
in need of,2.3,,2.3,,
in no time,2.7,,2.7,,
in no uncertain terms,1.9,,1.9,,
"in no way, shape, or form",1.2,,1.2,,
in no wise,2.1,,2.1,,
in office,3.09,,3.09,,
in olden days,2.1,,2.1,,
in olden times,1.8,,1.8,,
in one breath,3.0,,3.0,,
in one case,1.8,,1.8,,
in one ear and out the other,1.9,,1.9,,
in one fell swoop,2.3,,2.3,,
in one hell of a hurry,2.0,,2.0,,
in one's armor,2.13,,2.13,,
in one's birthday suit,2.5,,2.5,,
in one's book,1.92,,1.92,,
in one's cups,2.36,,2.36,,
in one's dreams,1.3,,1.3,,
in one's element,2.2,,2.2,,
in one's experience,2.7,,2.7,,
in one's face,2.7,,2.7,,
in one's opinion,1.92,,1.92,,
in one's own right,2.4,,2.4,,
in one's own sweet time,1.7,,1.7,,
in one's pocket,2.7,,2.7,,
in one's right mind,2.54,,2.54,,
in one's stead,2.0,,2.0,,
in operation,2.82,,2.82,,
in order,2.4,,2.4,,
in order for,1.6,,1.6,,
in order to,2.5,,2.5,,
in other words,1.5,,1.5,,
in over your head,2.15,,2.15,,
in pain,3.42,,3.42,,
in parenthesis,3.0,,3.0,,
in part,2.2,,2.2,,
in particular,2.27,,2.27,,
in passing,2.2,,2.2,,
in peace,2.82,,2.82,,
in perpetuity,2.0,,2.0,,
in perpetuum,2.3,,2.3,,
in person,2.4,,2.4,,
in phase,3.1,,3.1,,
in place,3.6,,3.6,,
in place of,2.36,,2.36,,
in plain view,3.8,,3.8,,
in point of fact,1.8,,1.8,,
in posse,2.5,,2.5,,
in possession of,3.82,,3.82,,
in potentia,2.7,,2.7,,
in power,2.18,,2.18,,
in practice,2.45,,2.45,,
in principle,1.21,1.21,,,
in private,3.4,,3.4,,
in process of time,1.55,,1.55,,
in progress,2.33,2.33,2.7,,
in proportion,2.82,,2.82,,
in proportion to,2.3,,2.3,,
in public,3.3,,3.3,,
in pursuance of,1.91,,1.91,,
in pursuit of,2.45,,2.45,,
in quest of,1.8,,1.8,,
in question,1.6,,1.6,,
in raptures,1.6,,1.6,,
in reality,2.58,,2.58,,
in receipt of,2.5,,2.5,,
in reference to,2.5,,2.5,,
in regard to,2.5,,2.5,,
in relation to,2.0,,2.0,,
in relief,2.2,,2.2,,
in reply to,2.8,,2.8,,
in reserve,2.4,,2.4,,
in respect of,1.27,,1.27,,
in respect to,1.9,,1.9,,
in response to,2.0,,2.0,,
in retrospect,2.0,,2.0,,
in return,2.5,,2.5,,
in return for,2.5,,2.5,,
in reverse,3.5,,3.5,,
in ruins,2.8,,2.8,,
in safe hands,2.3,,2.3,,
in search of,2.82,,2.82,,
in season,2.0,,2.0,,
in secret,2.4,,2.4,,
in series,2.3,,2.3,,
in seventh heaven,2.1,,2.1,,
in shape,3.2,,3.2,,
in short,1.7,,1.7,,
in short order,2.27,,2.27,,
in short supply,3.2,,3.2,,
in sick bay,3.0,,3.0,,
in sight,3.36,3.36,2.91,,
in silence,3.27,,3.27,,
in small stages,1.9,,1.9,,
in smooth waters,2.2,,2.2,,
in so far,1.8,,1.8,,
in so far as,2.09,,2.09,,
in some respects,2.5,,2.5,,
in some ways,1.1,,1.1,,
in somebody's good or bad books,1.9,,1.9,,
in someone way,2.4,,2.4,,
in someone's bad books,2.41,,2.41,,
in someone's best interest,2.27,,2.27,,
in someone's blood,2.0,,2.0,,
in someone's hour of need,1.2,,1.2,,
in someone's shoes,1.73,,1.73,,
in someone's time of need,2.2,,2.2,,
in someone's wheelhouse,2.6,,2.6,,
in spades,1.6,,1.6,,
in spite of,1.9,,1.9,,
in spite of appearance,1.73,,1.73,,
in stages,2.7,,2.7,,
in step,2.3,,2.3,,
in stir,2.45,,2.45,,
in stitches,2.18,,2.18,,
in stock,3.1,,3.1,,
in stop,2.54,,2.54,,
in store,3.5,3.5,3.4,,
in store for,2.45,,2.45,,
in strict confidence,1.9,,1.9,,
in stride,2.5,,2.5,,
in style,2.09,,2.09,,
in sum,2.8,,2.8,,
in support of,2.0,,2.0,,
in sync,2.9,,2.9,,
in synch,2.8,,2.8,,
in tandem,3.2,,3.2,,
in tatters,3.5,,3.5,,
in tears,3.3,,3.3,,
in terms,1.55,,1.55,,
in terms of,3.0,,3.0,,
in that,2.73,,2.73,,
in that case,1.7,,1.7,,
in that vein,2.6,,2.6,,
in the absence of,2.09,,2.09,,
in the abstract,1.27,,1.27,,
in the act,2.1,,2.1,,
in the adjacent house,3.4,,3.4,,
in the air,2.3,,2.3,,
in the altogether,2.0,,2.0,,
in the ascendant,2.0,,2.0,,
in the ascendent,1.91,,1.91,,
in the back of my mind,1.8,,1.8,,
in the back of your mind,1.56,,1.56,,
in the bag,2.9,,2.9,,
in the balance,1.3,,1.3,,
in the ball park,2.19,,2.19,,
in the bank,3.0,,3.0,,
in the bargain,1.9,,1.9,,
in the basket,3.4,,3.4,,
in the bat of an eye,2.09,,2.09,,
in the beginning,1.86,,1.86,,
in the biblical sense,1.3,,1.3,,
in the black,1.9,,1.9,,
in the blink of an eye,2.33,,2.33,,
in the blood,2.73,,2.73,,
in the books,2.62,,2.62,,
in the boonies,2.9,,2.9,,
in the box seat,2.4,,2.4,,
in the box-seat,3.1,,3.1,,
in the buff,2.4,,2.4,,
in the cards,2.83,,2.83,,
in the cart,3.6,,3.6,,
in the catbird seat,2.73,,2.73,,
in the circumstances,1.8,,1.8,,
in the clear,2.8,,2.8,,
in the clink,2.18,,2.18,,
in the club,2.94,,2.94,,
in the course of,2.3,,2.3,,
in the course of time,2.0,,2.0,,
in the crosshairs,1.6,,1.6,,
in the current climate,2.0,,2.0,,
in the dark,3.0,,3.0,,
in the distance,3.5,,3.5,,
in the dock,3.31,,3.31,,
in the doghouse,2.2,,2.2,,
in the drink,3.1,,3.1,,
in the driver's seat,3.2,,3.2,,
in the dumps,1.7,,1.7,,
in the eleventh hour,1.5,,1.5,,
in the end,1.8,,1.8,,
in the event,2.2,,2.2,,
in the eye of the storm,2.4,,2.4,,
in the face of,2.15,,2.15,,
in the fast lane,2.3,,2.3,,
in the final analysis,2.18,,2.18,,
in the firing line,3.4,,3.4,,
in the first place,2.2,,2.2,,
in the flesh,3.1,,3.1,,
in the fold,2.1,,2.1,,
in the foreground,2.9,,2.9,,
in the game,2.09,,2.09,,
in the gutter,1.9,,1.9,,
in the heat of the moment,2.0,,2.0,,
in the here and now,2.6,,2.6,,
in the hole,3.0,,3.0,,
in the hopper,1.92,,1.92,,
in the hospital,4.2,,4.2,,
in the hot seat,1.85,,1.85,,
in the interest of,2.0,,2.0,,
in the interests of,2.0,,2.0,,
in the interim,2.27,,2.27,,
in the jug,3.0,,3.0,,
in the kingdom of the blind the one eyed man is king,1.4,,1.4,,
in the know,2.2,,2.2,,
in the lap of luxury,2.0,,2.0,,
in the lead,3.09,,3.09,,
in the least,1.9,,1.9,,
in the light of,2.5,,2.5,,
in the limelight,1.55,,1.55,,
in the long haul,1.9,,1.9,,
in the long run,1.9,,1.9,,
in the long term,2.24,,2.24,,
in the loop,2.36,,2.36,,
in the lurch,1.82,,1.82,,
in the main,2.5,,2.5,,
in the mainstream,2.6,,2.6,,
in the making,2.6,,2.6,,
in the mean time,2.3,,2.3,,
in the meantime,1.9,,1.9,,
in the meanwhile,1.6,,1.6,,
in the middle of,2.8,,2.8,,
in the middle of nowhere,2.45,,2.45,,
in the midst,2.67,,2.67,,
in the midst of,2.2,,2.2,,
in the midst of life we are in death,1.45,,1.45,,
in the money,1.7,,1.7,,
in the monford lane,2.2,,2.2,,
in the mood,1.85,,1.85,,
in the name of,2.09,,2.09,,
in the nick of time,2.9,,2.9,,
in the nude,4.3,,4.3,,
in the offing,2.6,,2.6,,
in the open,2.5,,2.5,,
in the order of,1.9,,1.9,,
in the picture,2.4,,2.4,,
in the pink,1.3,,1.3,,
in the pink of health,1.9,,1.9,,
in the pipe five by five,2.0,,2.0,,
in the pipeline,1.9,,1.9,,
in the pits,2.4,,2.4,,
in the poorhouse,2.0,,2.0,,
in the post,2.7,,2.7,,
in the process of,2.2,,2.2,,
in the public eye,2.1,,2.1,,
in the raw,1.6,,1.6,,
in the red,2.0,,2.0,,
in the right,1.83,,1.83,,
in the right perspective,1.6,,1.6,,
in the right place at the right time,2.09,,2.09,,
in the road,3.0,,3.0,,
in the rough,1.9,,1.9,,
in the running,2.4,,2.4,,
in the same boat,2.92,,2.92,,
in the same breath,2.4,,2.4,,
in the same way,2.36,,2.36,,
in the short run,2.3,,2.3,,
in the slammer,3.09,,3.09,,
in the soup,3.0,,3.0,,
in the sticks,2.45,,2.45,,
in the swim,3.0,,3.0,,
in the tank,2.9,,2.9,,
in the thick of,2.1,,2.1,,
in the thick of it,1.5,,1.5,,
in the throes of,1.55,,1.55,,
in the toilet,3.45,,3.45,,
in the trouser department,2.88,,2.88,,
in the twinkling of an eye,1.3,,1.3,,
in the wake of,2.5,,2.5,,
in the wars,2.69,,2.69,,
in the way,1.8,,1.8,,
in the way of,3.1,,3.1,,
in the weeds,3.3,,3.3,,
in the wind,2.5,,2.5,,
in the wink of an eye,2.1,,2.1,,
in the words of,2.7,,2.7,,
in the works,1.94,,1.94,,
in the world,2.4,,2.4,,
in the worst way,1.2,,1.2,,
in the wrong place at the wrong time,1.8,,1.8,,
in the zone,2.4,,2.4,,
in their right minds,1.91,,1.91,,
in theory,1.27,,1.27,,
in these parts,2.4,,2.4,,
in this day,1.5,,1.5,,
in this day and age,2.3,,2.3,,
in this respect,2.5,,2.5,,
in thrall,2.5,,2.5,,
