Word,Concreteness,Brysbaert,Muraki,Glasgow,MRC
about face,2.0,,2.0,,
about time,2.0,,2.0,,
about to,2.4,,2.4,,
about turn,2.5,,2.5,,
about-face,2.55,,2.55,,
above,3.33,3.33,,,
above all,2.11,2.11,2.09,,
above and beyond,2.27,,2.27,,
above and beyond the call of duty,2.1,,2.1,,
above average,2.4,,2.4,,
above board,3.0,,3.0,,
above measure,2.2,,2.2,,
above stealing,2.08,,2.08,,
above the curve,1.92,,1.92,,
above the law,2.1,,2.1,,
above water,3.0,,3.0,,
above your pay grade,2.1,,2.1,,
above-the-line promotion,2.1,,2.1,,
aboveboard,2.8,2.8,,,
aboveground,4.03,4.03,,,
abovementioned,2.96,2.96,,,
abracadabra,2.04,2.04,1.5,,
abrasion,4.57,4.57,,,
abrasive,3.03,3.03,,,
abrasive personality,1.55,,1.55,,
abrasively,2.07,2.07,,,
abrasiveness,2.72,2.72,,,
abreast,2.23,2.23,,,
abridge,2.77,2.77,,,
abridged,1.77,1.77,,,
abridgement,2.23,,,,285
abridgment,2.67,2.67,,,
abroad,2.72,2.72,,4.559,
abrupt,2.27,2.27,,2.829,266
abruptly,2.36,2.36,,,
abruptness,2.04,2.04,,,
abscess,4.48,4.48,,,538
abscessed,2.69,2.69,,,
absence,2.31,2.31,,,
absence makes the heart grow fonder,1.5,,1.5,,
absence makes the heart grow stronger,1.6,,1.6,,
absence seizure,3.1,,3.1,,
absence without leave,2.47,,2.47,,
absent,2.7,2.7,,,
absent minded,1.55,,1.55,,
absent without leave,2.4,,2.4,,
absent-minded,1.8,,1.8,,
absent-mindedly,2.82,,2.82,,
absent-mindedness,2.23,,2.23,,
absentee,3.29,3.29,,,
absentee ballot,3.6,,3.6,,
absentee landlord,3.1,,3.1,,
absentee rate,3.45,,3.45,,
absentee vote,3.18,,3.18,,
absenteeism,2.35,2.35,,,
absently,1.71,1.71,,,
absentminded,2.0,2.0,,,
absentmindedly,1.76,1.76,,,
absentmindedness,1.75,1.75,,,
absentness,1.88,1.88,,,
absinthe,4.3,4.3,,,
absinthe oil,4.6,,4.6,,
absolute,1.81,1.81,,,
absolute ceiling,2.1,,2.1,,
absolute form,2.8,,2.8,,
absolute frequency,2.55,,2.55,,
absolute humidity,2.8,,2.8,,
absolute majority,3.0,,3.0,,
absolute pitch,2.87,,2.87,,
absolute power corrupts absolutely,2.5,,2.5,,
absolute system,3.09,,3.09,,
absolute temperature,2.9,,2.9,,
absolute term,3.08,,3.08,,
absolute threshold,2.73,,2.73,,
absolute value,3.7,,3.7,,
absolute zero,3.7,,3.7,,
absolutely,1.97,1.97,,,
absolutely not,2.82,,2.82,,
absoluteness,1.5,1.5,,,
absolution,1.78,1.78,,,241
absolutism,1.46,1.46,,,
absolutist,2.7,2.7,,,
absolvable,1.8,1.8,,,
absolve,1.85,1.85,,,
absorb,3.11,3.11,,3.188,
absorbability,2.38,2.38,,,
absorbable,2.47,2.47,,,
absorbed,2.44,2.44,,,
absorbed dose,3.4,,3.4,,
absorbency,2.97,2.97,,,
absorbent,3.1,3.1,,,
absorbent pad,4.1,,4.1,,
absorber,2.96,2.96,,,
absorbing,3.33,3.33,,,
absorbingly,2.04,2.04,,,
absorption,3.22,3.22,,,
absorption band,4.1,,4.1,,
absorption cell,2.5,,2.5,,
absorption coefficient,2.5,,2.5,,
absorption factor,2.55,,2.55,,
absorption indicator,3.8,,3.8,,
absorption spectrum,2.45,,2.45,,
absorptiveness,2.19,2.19,,,
abstain,2.38,2.38,,,
abstainer,2.62,2.62,,,
abstention,2.16,2.16,,,
abstinence,1.72,1.72,,,
abstinent,1.77,1.77,,,
abstinently,2.0,2.0,,,
abstract,1.45,1.45,,1.714,
abstract art,3.0,,3.0,,
abstract artist,3.6,,3.6,,
abstract entity,1.56,,1.56,,
abstract expressionism,1.46,,1.46,,
abstract expressionist,3.55,,3.55,,
abstract idea,1.8,,1.8,,
abstract model,2.6,,2.6,,
abstract music,1.9,,1.9,,
abstract nonsense,1.27,,1.27,,
abstract noun,2.3,,2.3,,
abstract term,1.88,,1.88,,
abstract thought,1.18,,1.18,,
abstract verb,2.2,,2.2,,
abstracted,1.48,1.48,,,
abstractedly,1.54,1.54,,,
abstractedness,1.59,1.59,,,
abstraction,1.57,1.57,,,
abstractionism,1.75,1.75,,,
abstractionist,2.52,2.52,,,
abstractive,1.6,1.6,,,
abstractly,1.36,1.36,,,
abstractness,1.5,1.5,,,
absurd,1.64,1.64,,2.065,
absurdity,1.25,1.25,,,
absurdly,1.55,1.55,,2.515,
absurdness,1.46,1.46,,,
abundance,2.21,2.21,,3.229,267
abundant,2.83,2.83,,3.0,351
abundantly,2.22,2.22,,,
abuse,2.71,2.71,,3.419,
abuse of distress,2.3,,2.3,,
abuser,3.86,3.86,,4.667,
abusive,2.55,2.55,,,
abusively,2.2,2.2,,,
abusiveness,1.84,1.84,,,
abutment arch,2.9,,2.9,,
abysmally,2.12,2.12,,,
abyss,3.07,3.07,,3.177,450
abyssal zone,2.8,,2.8,,
acacia tree,4.6,,4.6,,
academia,2.12,2.12,,,
academic,2.11,2.11,,4.03,
academic degree,3.91,,3.91,,
academic freedom,2.9,,2.9,,
academic gown,4.55,,4.55,,
academic robe,4.36,,4.36,,
academic session,4.0,,4.0,,
academic term,3.3,,3.3,,
academic year,3.71,3.71,3.2,,
